province,nowConfirm,confirm,dead,heal,addConfirm,deadRate,healRate
上海,125,1714,7,1582,0,0.41,92.3
云南,1,231,2,228,0,0.87,98.7
内蒙古,12,366,1,353,0,0.27,96.45
北京,57,1044,9,978,0,0.86,93.68
台湾,71,919,9,839,0,0.98,91.29
吉林,327,571,3,241,0,0.53,42.21
四川,13,873,3,857,0,0.34,98.17
天津,18,344,3,323,0,0.87,93.9
宁夏,0,75,0,75,0,0.0,100.0
安徽,0,994,6,988,0,0.6,99.4
山东,2,866,7,857,0,0.81,98.96
山西,12,239,0,227,0,0.0,94.98
广东,46,2132,8,2078,0,0.38,97.47
广西,2,267,2,263,0,0.75,98.5
新疆,0,980,3,977,0,0.31,99.69
江苏,12,698,0,686,0,0.0,98.28
江西,0,935,1,934,0,0.11,99.89
河北,239,1316,7,1070,0,0.53,81.31
河南,1,1303,22,1280,0,1.69,98.23
浙江,10,1316,1,1305,0,0.08,99.16
海南,0,171,6,165,0,3.51,96.49
湖北,1,68150,4512,63637,0,6.62,93.38
湖南,11,1032,4,1017,0,0.39,98.55
澳门,1,47,0,46,0,0.0,97.87
甘肃,4,187,2,181,0,1.07,96.79
福建,17,544,1,526,0,0.18,96.69
西藏,0,1,0,1,0,0.0,100.0
贵州,0,147,2,145,0,1.36,98.64
辽宁,14,402,2,386,0,0.5,96.02
重庆,0,591,6,585,0,1.02,98.98
陕西,23,541,3,515,0,0.55,95.19
青海,0,18,0,18,0,0.0,100.0
香港,683,10552,185,9684,0,1.75,91.77
黑龙江,462,1601,13,1126,0,0.81,70.33
